id_ocorrencia_a;matricula;operador_categoria;tipo_veiculo;fabricante;modelo;motor_tipo;motor_quantidade;assentos;ano_fabricacao;pais_fabricante;registro_segmento;voo_origem;voo_destino;fase_operacao
39507;PTUTM;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-202A;PISTAO;MONOMOTOR;1;2005;BRASIL;AGRICOLA;C.T.O. ITAU;FORA DE AERODROMO;OUTRA FASE
39527;PTURT;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;PISTAO;MONOMOTOR;1;2004;BRASIL;PARTICULAR;FAZENDA IRMAOS MUNARETTO;FAZENDA IRMAOS MUNARETTO;VOO A BAIXA ALTURA
39627;PRMYE;REGULAR;AVIAO;AIRBUS INDUSTRIE;A320-214;JATO;BIMOTOR;184;2009;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
39687;PTUPW;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;PISTAO;MONOMOTOR;1;2003;BRASIL;ESPECIALIZADA;SANTA TEREZINHA;COMANDANTE ANTONIO AMILTON BERALDO;ESPECIALIZADA
39707;PTEVH;***;AVIAO;EMBRAER;EMB-810C;PISTAO;BIMOTOR;7;1979;BRASIL;PARTICULAR;EDUARDO GOMES;LABREA;CRUZEIRO
39709;PTOLF;***;AVIAO;PIPER AIRCRAFT;PA-31T1;TURBOELICE;BIMOTOR;7;1980;BRASIL;PARTICULAR;MINISTRO VICTOR KONDER;BACACHERI;CORRIDA APOS POUSO
39711;PTZPJ;EXPERIMENTAL;AVIAO;ANTONIO CESAR DA SILVA AMARAL;LANCAIR SUPER E;PISTAO;MONOMOTOR;4;2009;BRASIL;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
39727;PTSOG;***;AVIAO;EMBRAER;EMB-110P1;TURBOELICE;BIMOTOR;20;1991;BRASIL;TAXI AEREO;FAZENDA PAIAGUAS;MARECHAL RONDON;POUSO
39747;PTEHG;TAXI AEREO;AVIAO;EMBRAER;EMB-820C NAVAJO;PISTAO;BIMOTOR;10;1976;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39748;PRWAR;ESPECIALIZADA;AVIAO;CESSNA AIRCRAFT;A188B;PISTAO;MONOMOTOR;1;1975;BRASIL;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA
39768;PRESP;ADMINISTRACAO DIRETA;AVIAO;HAWKER BEECHCRAFT;B200GT;TURBOELICE;BIMOTOR;9;2008;BRASIL;ADMINISTRACAO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA
39772;PRLJR;PARTICULAR;AVIAO;PILATUS;PC-12/47;TURBOELICE;MONOMOTOR;10;2006;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
39787;PPFKI;INSTRUCAO;AVIAO;AERO BOERO;AB-115;PISTAO;MONOMOTOR;2;1990;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
39789;PTGPL;ESPECIALIZADA;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-201;PISTAO;MONOMOTOR;1;1977;BRASIL;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;CHEQUE DE MOTOR OU ROTOR
39807;PTBXF;INSTRUCAO;AVIAO;CESSNA AIRCRAFT;150E;PISTAO;MONOMOTOR;2;1965;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
39809;PTVFM;PARTICULAR;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PISTAO;MONOMOTOR;4;1989;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39810;PTEZN;TAXI AEREO;AVIAO;EMBRAER;EMB-820C NAVAJO;PISTAO;BIMOTOR;10;1979;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39828;PPEOD;ADMINISTRACAO DIRETA;HELICOPTERO;EUROCOPTER FRANCE;AS 350 B2;TURBOEIXO;MONOMOTOR;6;1992;BRASIL;ADMINISTRACAO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA
39847;PRLJS;PARTICULAR;AVIAO;CIRRUS DESIGN;SR22;PISTAO;MONOMOTOR;4;2006;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
39848;PTMXA;REGULAR;AVIAO;AIRBUS INDUSTRIE;A321-231;JATO;BIMOTOR;232;2007;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE
39849;PRMHZ;REGULAR;AVIAO;AIRBUS INDUSTRIE;A320-214;JATO;BIMOTOR;184;2008;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
39850;PRJFS;INSTRUCAO;AVIAO;AEROMOT;AMT-600;PISTAO;MONOMOTOR;2;2006;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
39851;PROAM;REGULAR;AVIAO;FOKKER;F28MK0100;JATO;BIMOTOR;107;1993;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
39887;PTNYV;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;PISTAO;MONOMOTOR;4;1982;BRASIL;INSTRUCAO;CARLOS PRATES;CARLOS PRATES;SUBIDA
39910;PTMZH;REGULAR;AVIAO;AIRBUS INDUSTRIE;A320-232;JATO;BIMOTOR;184;1999;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
39913;PTMEA;***;AVIAO;CESSNA AIRCRAFT;208B;TURBOELICE;MONOMOTOR;11;1993;BRASIL;TAXI AEREO;***;CRUZEIRO DO SUL;DECOLAGEM
39914;PPGMA;INSTRUCAO;AVIAO;AERO BOERO;AB-115;PISTAO;MONOMOTOR;2;1992;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRAFEGO
39916;PTLJK;***;AVIAO;LEARJET;35A;JATO;BIMOTOR;10;1981;BRASIL;TAXI AEREO;EDUARDO GOMES;FORA DE AERODROMO;DECOLAGEM
39930;PTWKQ;***;AVIAO;CESSNA AIRCRAFT;550;JATO;BIMOTOR;7;1991;BRASIL;TAXI AEREO;AEROPUERTO INTERNACIONAL MINISTRO PISTARINI;AFONSO PENA;CRUZEIRO
39933;PTOID;***;AVIAO;CESSNA AIRCRAFT;310R;PISTAO;BIMOTOR;6;1976;BRASIL;PARTICULAR;DOUTOR RAMALHO FRANCO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;DESCIDA
39967;PTHOZ;TAXI AEREO;HELICOPTERO;BELL HELICOPTER;206B;TURBOEIXO;MONOMOTOR;5;1976;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO
39969;PRGEA;***;AVIAO;BOEING COMPANY;737-7EH;JATO;BIMOTOR;154;2009;BRASIL;REGULAR;DEPUTADO LUIS EDUARDO MAGALHAES;ANTONIO CARLOS JOBIM / GALEAO;SUBIDA
39972;PTNZO;PARTICULAR;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-711ST;PISTAO;MONOMOTOR;4;1980;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO
39987;PTAFX;ESPECIALIZADA;AVIAO;CESSNA AIRCRAFT;170A;PISTAO;MONOMOTOR;1;1950;BRASIL;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
39988;PTFLF;INSTRUCAO;AVIAO;CESSNA AIRCRAFT;152;PISTAO;MONOMOTOR;2;1977;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
39992;PRUUT;***;AVIAO;EMBRAER;EMB-500;JATO;BIMOTOR;6;2009;BRASIL;PARTICULAR;PRESIDENTE JUSCELINO KUBITSCHEK;CAMPO DE MARTE;CORRIDA APOS POUSO
39993;PTBKU;***;AVIAO;CESSNA AIRCRAFT;150J;PISTAO;MONOMOTOR;2;1969;BRASIL;INSTRUCAO;GOVERNADOR JOSE RICHA;FORA DE AERODROMO;DECOLAGEM
40027;PPFKV;INSTRUCAO;AVIAO;AERO BOERO;AB-115;PISTAO;MONOMOTOR;2;1990;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
40069;PPMAW;***;HELICOPTERO;HELIBRAS;AS 350 B3;TURBOEIXO;MONOMOTOR;7;1999;BRASIL;PARTICULAR;FORA DE AERODROMO;UNICID - UNIVERSIDADE CIDADE DE SAO PAULO;PARTIDA DO MOTOR
40087;PTAKS;***;AVIAO;CESSNA AIRCRAFT;210H;PISTAO;MONOMOTOR;4;1969;BRASIL;PARTICULAR;ANAPOLIS;FAZENDA SAO LUIZ;DECOLAGEM
40088;PTJTM;***;AVIAO;BEECH AIRCRAFT;E55;PISTAO;BIMOTOR;6;1974;BRASIL;ADMINISTRACAO DIRETA;ATLAS BRASIL CANTANHEDE;SERRA DO SOL;POUSO
40089;PTIXG;***;AVIAO;CESSNA AIRCRAFT;210L;PISTAO;MONOMOTOR;6;1973;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE
40107;PTEOS;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-720C;PISTAO;MONOMOTOR;7;1977;BRASIL;TAXI AEREO;BREVES;GURUPA;POUSO
40147;PTWOO;***;AVIAO;PIPER AIRCRAFT;PA-34-220T;PISTAO;BIMOTOR;6;1997;BRASIL;PARTICULAR;BACACHERI;JOSE CLETO;POUSO
40148;PTLCI;***;AVIAO;CESSNA AIRCRAFT;185;PISTAO;MONOMOTOR;6;1962;BRASIL;PARTICULAR;FORA DE AERODROMO;ESTANCIA SANTA MARIA;APROXIMACAO FINAL
40149;PPGYK;***;AVIAO;XAVANTE;A-122-B;PISTAO;MONOMOTOR;2;1974;BRASIL;INSTRUCAO;BRIGADEIRO ARARIPE MACEDO;FORA DE AERODROMO;DECOLAGEM
40150;PTJXO;***;AVIAO;BEECH AIRCRAFT;A36;PISTAO;MONOMOTOR;6;1974;BRASIL;ADMINISTRACAO DIRETA;SALGADO FILHO;ITAQUI;POUSO
40168;PREGB;PARTICULAR;AVIAO;DASSAULT AVIATION;FALCON 10;JATO;BIMOTOR;9;1975;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO
40170;PPMTA;REGULAR;AVIAO;MCDONNELL DOUGLAS;DC-10-30F;JATO;TRIMOTOR;7;1975;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
40171;PPGBW;***;AVIAO;AERO BOERO;AB-115;PISTAO;MONOMOTOR;2;1991;BRASIL;INSTRUCAO;PORTO NACIONAL;FORA DE AERODROMO;DECOLAGEM
40190;PROAM;REGULAR;AVIAO;FOKKER;F28MK0100;JATO;BIMOTOR;107;1993;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40207;PTVJP;TAXI AEREO;AVIAO;EMBRAER;EMB-810D;PISTAO;BIMOTOR;6;1989;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40209;PPKBS;INSTRUCAO;AVIAO;XAVANTE;A-122-B;PISTAO;MONOMOTOR;2;1978;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;RETA FINAL
40210;PTKDZ;PARTICULAR;AVIAO;CESSNA AIRCRAFT;182P;PISTAO;MONOMOTOR;5;1974;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
40211;PRCHE;TAXI AEREO;HELICOPTERO;SIKORSKY AIRCRAFT;S-76C;TURBOEIXO;BIMOTOR;14;2007;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
40212;PPXRK;EXPERIMENTAL;AVIAO;***;BUMERANGUE EX27;PISTAO;MONOMOTOR;4;2008;BRASIL;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
40213;PTDSO;***;AVIAO;CESSNA AIRCRAFT;210K;PISTAO;MONOMOTOR;6;1970;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40214;PTWTT;***;AVIAO;BEECH AIRCRAFT;58;PISTAO;BIMOTOR;6;1974;BRASIL;ADMINISTRACAO INDIRETA;OURILANDIA DO NORTE;FORA DE AERODROMO;POUSO
40215;PRTTH;REGULAR;AVIAO;AEROSPATIALE AND ALENIA;ATR-42-500;TURBOELICE;BIMOTOR;52;1996;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40227;PTMFT;REGULAR;AVIAO;AEROSPATIALE AND ALENIA;ATR-42-320;TURBOELICE;BIMOTOR;50;1992;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40228;PTIDY;INSTRUCAO;AVIAO;PIPER AIRCRAFT;PA-34-200;PISTAO;BIMOTOR;7;1972;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRAFEGO
40247;PTEQV;INSTRUCAO;AVIAO;EMBRAER;EMB-810C;PISTAO;BIMOTOR;6;1977;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40248;PRSSB;ESPECIALIZADA;AVIAO;CESSNA AIRCRAFT;208B;TURBOELICE;MONOMOTOR;3;2000;BRASIL;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40250;PPZAV;EXPERIMENTAL;AVIAO;NILSON SULZBACH PERES;KIT FOX;PISTAO;MONOMOTOR;2;1989;BRASIL;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40251;PTHML;ADMINISTRACAO DIRETA;HELICOPTERO;HELIBRAS;HB-350B;TURBOEIXO;MONOMOTOR;6;1983;BRASIL;ADMINISTRACAO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;PAIRADO
40258;PRVOA;TAXI AEREO;AVIAO;EMBRAER;EMB-810C;PISTAO;BIMOTOR;7;1977;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
40260;PPEJJ;ADMINISTRACAO DIRETA;HELICOPTERO;HELIBRAS;AS 350 B2;TURBOEIXO;MONOMOTOR;6;1996;BRASIL;ADMINISTRACAO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRAFEGO
40261;PUEPM;EXPERIMENTAL;ULTRALEVE;EDSON PIMENTEL MATHEUS;MAX M22;PISTAO;MONOMOTOR;2;2002;BRASIL;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40262;PTXIB;TAXI AEREO;AVIAO;CESSNA AIRCRAFT;560XL;JATO;BIMOTOR;10;1999;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40264;PTESS;***;AVIAO;EMBRAER;EMB-810C;PISTAO;BIMOTOR;6;1978;BRASIL;TAXI AEREO;ESTANCIA SANTA RITA;FAZENDA SANTO ANTONIO;POUSO
40267;PTIPO;***;AVIAO;PIPER AIRCRAFT;PA-31;PISTAO;BIMOTOR;8;1973;BRASIL;TAXI AEREO;DEPUTADO LUIS EDUARDO MAGALHAES;LORENZO;CRUZEIRO
40269;PTWYD;***;AVIAO;CESSNA AIRCRAFT;310R;PISTAO;BIMOTOR;6;1979;BRASIL;PARTICULAR;PRESIDENTE JUSCELINO KUBITSCHEK;ANAPOLIS;POUSO
40270;PREJM;***;AVIAO;CESSNA AIRCRAFT;152;PISTAO;MONOMOTOR;2;1985;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;PARTIDA DO MOTOR
40271;PPRTO;***;AVIAO;CIA AERONAUTICA PAULISTA;CAP-4;PISTAO;MONOMOTOR;2;1946;BRASIL;INSTRUCAO;ENCANTA MOCA;FAZENDA BUSATO 1;DECOLAGEM
40273;PTMEA;***;AVIAO;CESSNA AIRCRAFT;208B;TURBOELICE;MONOMOTOR;11;1993;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40275;PRBZE;PARTICULAR;AVIAO;PILATUS;PC-12/45;TURBOELICE;MONOMOTOR;10;2004;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40287;PTDYZ;INSTRUCAO;AVIAO;PIPER AIRCRAFT;PA-34-200;PISTAO;BIMOTOR;6;1972;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
40288;PRGTH;REGULAR;AVIAO;BOEING COMPANY;737-8EH;JATO;BIMOTOR;194;2006;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
40290;PPPJE;REGULAR;AVIAO;EMBRAER;ERJ 170-200 LR;JATO;BIMOTOR;93;2009;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
40291;PRGGH;REGULAR;AVIAO;BOEING COMPANY;737-8EH;JATO;BIMOTOR;197;2009;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO
40292;PPPTT;REGULAR;AVIAO;AEROSPATIALE AND ALENIA;ATR-72-212A;TURBOELICE;BIMOTOR;73;2010;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE
40293;PTWEZ;PARTICULAR;AVIAO;CESSNA AIRCRAFT;182G;PISTAO;MONOMOTOR;5;1964;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA
40294;PRDCA;INSTRUCAO;AVIAO;AEROMOT;AMT-600;PISTAO;MONOMOTOR;2;2005;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40295;PRMBL;REGULAR;AVIAO;AIRBUS INDUSTRIE;A320-233;JATO;BIMOTOR;184;2003;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40296;PTVMA;PARTICULAR;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PISTAO;BIMOTOR;7;1990;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMACAO FINAL
40307;PRJFS;INSTRUCAO;AVIAO;AEROMOT;AMT-600;PISTAO;MONOMOTOR;2;2006;BRASIL;INSTRUCAO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40310;PTRVK;TAXI AEREO;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PISTAO;BIMOTOR;7;1984;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
40311;PRCHD;TAXI AEREO;HELICOPTERO;SIKORSKY AIRCRAFT;S-76C;TURBOEIXO;BIMOTOR;14;2006;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO
40312;PRLCM;TAXI AEREO;HELICOPTERO;SIKORSKY AIRCRAFT;S-76C;TURBOEIXO;BIMOTOR;14;2006;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO
40314;PTMFU;REGULAR;AVIAO;AEROSPATIALE AND ALENIA;ATR-42-300;TURBOELICE;BIMOTOR;50;1987;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
40316;PPIEG;***;HELICOPTERO;HELIBRAS;AS 350 B2;TURBOEIXO;MONOMOTOR;6;2006;BRASIL;ADMINISTRACAO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA
40318;PUDAB;EXPERIMENTAL;ULTRALEVE;***;FK9 MK3;PISTAO;MONOMOTOR;2;2000;BRASIL;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
40320;PROAE;REGULAR;AVIAO;FOKKER;F28MK0100;JATO;BIMOTOR;107;1992;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
40321;PRBOR;PARTICULAR;AVIAO;BEECH AIRCRAFT;58;PISTAO;BIMOTOR;6;1981;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM
40322;PTIBY;TAXI AEREO;AVIAO;PIPER AIRCRAFT;PA-28R-200;PISTAO;MONOMOTOR;4;1972;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40323;PRMSE;PARTICULAR;AVIAO;CIRRUS DESIGN;SR22;PISTAO;MONOMOTOR;4;2007;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40324;PPPSB;REGULAR;AVIAO;EMBRAER;EMB-120ER;TURBOELICE;BIMOTOR;34;1995;BRASIL;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40325;PTOXO;***;AVIAO;CESSNA AIRCRAFT;172C;PISTAO;MONOMOTOR;4;1962;BRASIL;PARTICULAR;CURRAIS NOVOS;SENADOR NILO COELHO;POUSO
40326;PPLCQ;PARTICULAR;AVIAO;PIPER AIRCRAFT;PA-31T;TURBOELICE;BIMOTOR;8;1978;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA
40327;PRRIA;PARTICULAR;AVIAO;CESSNA AIRCRAFT;T206H;PISTAO;MONOMOTOR;6;2009;BRASIL;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TAXI
40328;PTGRY;***;AVIAO;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;PISTAO;MONOMOTOR;1;1978;BRASIL;AGRICOLA;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APOS POUSO
40329;PTOGQ;TAXI AEREO;AVIAO;CESSNA AIRCRAFT;208;TURBOELICE;MONOMOTOR;11;1985;BRASIL;TAXI AEREO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO
40330;N245AY;***;AVIAO;BOEING COMPANY;767-201;JATO;BIMOTOR;0;1987;ESTADOS UNIDOS;***;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE
