ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
0,10201.5,43306.0,-4973.0,33,199,2061
3,14025.1,92585.3,-5580.0,50,254,3885
5,7976.18,7585.75,-1690.0,161,109,486
4,11176.0,18259.1,-3331.32,55,172,973
0,8368.98,26567.0,-3618.0,28,165,1524
4,9784.19,36750.7,-3060.0,41,196,1997
0,14703.1,93227.0,-5737.0,47,311,3802
3,10996.9,87333.1,-2390.0,14,220,3450
4,5757.49,11120.1,-1915.98,21,102,764
3,7511.6,14204.6,-2351.32,82,120,809
0,11172.1,48737.0,-5984.0,176,233,2325
0,8253.66,22740.0,-1810.0,23,138,1206
4,6796.84,14057.7,-1527.94,12,96,804
5,13128.5,59784.8,-3640.0,71,223,2822
3,10445.5,84668.3,-2010.0,25,220,3450
3,24511.0,474472.0,-10700.0,45,483,15505
5,9297.16,30430.0,-3162.94,116,171,1747
5,13011.9,70519.9,-5529.93,42,262,3211
2,6726.28,12062.3,-1807.84,8,105,765
4,2726.91,52.5799,-430.0,92,33,5
4,13432.5,60792.1,-5420.0,27,247,2754
0,9756.25,38530.0,-2126.0,34,209,1524
0,15547.5,67787.0,-6540.0,61,273,2129
4,13392.7,79963.8,-5160.0,48,272,3539
5,9282.91,29260.1,-3378.18,31,179,1626
0,19176.5,299930.0,-10794.0,87,407,10820
0,6363.31,9414.0,-2356.0,34,101,586
2,5398.82,4276.59,-717.0,10,79,317
5,12639.7,70542.2,-5318.65,70,262,3211
0,8825.51,35892.0,-3519.0,40,175,1868
5,11741.0,52851.3,-4344.44,99,209,2534
3,8936.12,28128.2,-2820.32,95,156,1521
4,5055.64,2870.85,-1199.41,47,67,224
1,9020.21,17476.2,-4127.4,30,183,931
0,8648.61,15678.0,-3176.0,77,125,889
5,6779.08,12811.6,-1540.87,31,96,804
3,24235.6,275831.0,-12900.0,83,540,8870
4,14257.0,79237.5,-7189.59,58,320,3466
4,8067.24,9426.1,-2960.66,21,138,554
0,5799.93,6030.0,-1152.0,12,80,316
0,8087.84,23021.0,-2302.0,17,145,1357
4,9910.0,35151.4,-4456.41,129,208,1691
2,4208.38,2173.98,-1051.37,20,54,165
0,7383.83,12007.0,-1608.0,26,145,768
4,9976.33,36430.0,-4388.08,117,208,1691
2,4209.06,2179.4,-1036.21,20,54,165
5,4513.02,4068.02,-1363.32,23,72,340
5,23288.5,279622.0,-9205.06,72,468,9276
3,9464.38,10028.9,-1660.0,47,154,587
0,5849.32,4670.0,-2029.0,46,95,344
5,7368.76,9526.94,-1150.0,26,102,516
2,3867.66,2203.3,-1034.09,21,54,165
4,9262.44,28718.5,-3305.19,35,179,1626
2,14189.6,59502.1,-6690.93,158,305,2610
4,12269.5,57637.3,-2200.0,37,223,2822
3,8513.96,26319.7,-2320.0,30,156,1364
3,9332.9,26774.0,-2360.0,31,156,1364
0,14511.3,170352.0,-8728.0,40,339,7341
2,6819.83,5250.37,-1460.0,8,79,292
3,8802.65,27497.3,-1910.0,45,156,1364
0,8626.26,21900.0,-3695.0,17,147,1018
3,13262.2,46178.0,-5749.48,48,273,2061
3,12625.4,79552.2,-4770.0,37,272,3539
3,11889.8,114530.0,-4270.0,43,235,4905
3,8071.87,14318.6,-1963.13,91,120,809
0,18327.5,175790.0,-12389.0,45,430,6635
3,13718.2,143417.0,-6182.51,179,308,6057
3,6795.8,12570.1,-1849.35,12,105,765
4,10138.3,26292.9,-3235.61,24,174,1415
2,7516.98,9270.66,-3089.5,20,138,554
4,7588.46,4175.55,-1600.0,29,86,205
4,5347.14,4136.87,-2420.0,12,79,292
0,13372.0,190854.0,-8983.0,252,350,7945
1,11956.1,74055.4,-2910.0,26,249,3630
3,12895.3,60001.1,-5590.0,26,247,2754
2,5600.53,7611.03,-1890.14,75,104,457
4,10132.6,32119.0,-3410.33,76,176,1922
0,8184.05,8281.0,-4037.0,16,137,399
2,11167.7,112064.0,-3070.0,54,235,4905
3,10900.0,37792.9,-3090.0,41,196,1997
2,8374.31,9399.96,-2667.47,98,130,490
5,7880.02,8991.08,-1420.0,21,102,516
0,12895.0,59376.0,-6706.0,42,281,2541
0,12710.0,88837.0,-6240.0,52,302,3891
4,26071.4,255509.0,-7480.0,94,537,8350
0,12925.8,81599.0,-6817.0,62,265,3292
3,11197.0,79880.6,-5720.0,37,272,3539
2,6663.65,4945.65,-2053.07,28,107,346
0,21183.2,324568.0,-13759.0,323,482,10983
2,3820.78,1454.91,-1014.97,42,52,133
4,8445.43,11069.7,-3180.11,36,156,654
4,7995.06,9015.01,-2858.76,27,138,554
0,4534.61,3397.19,-1070.32,43,60,243
3,4268.21,2013.37,-1076.53,5,63,166
0,6850.9,4364.0,-2641.0,19,111,272
2,11604.3,34115.6,-3720.0,51,234,1581
3,23904.3,276650.0,-9670.0,105,537,8350
0,7799.87,16190.0,-2635.0,22,137,810
2,6327.04,5299.65,-2070.0,7,79,292
4,13670.9,77654.4,-5432.38,32,262,3211
0,12756.0,68486.0,-4464.0,38,264,2681
0,10707.6,20770.0,-2326.0,21,110,655
3,12827.8,83655.8,-2990.0,30,220,3450
2,11797.7,34617.4,-2860.0,22,234,1581
3,13869.1,66809.9,-3810.0,49,224,2192
4,13667.8,80111.3,-5450.0,45,272,3539
0,14366.1,173121.0,-6332.0,86,320,6522
1,8986.39,17200.1,-4252.16,35,183,931
4,10036.3,51996.9,-2640.0,37,188,2599
2,8231.33,9469.98,-2806.49,97,130,490
0,22876.7,414869.0,-12806.0,95,509,13313
4,6763.03,7251.57,-2400.0,158,109,486
2,7167.38,5621.85,-1840.0,16,79,292
0,13385.7,158829.0,-6132.0,65,306,7090
4,5410.99,4273.35,-1750.0,21,85,343
0,12833.3,146095.0,-5999.0,61,317,6400
3,8902.07,24049.4,-2939.3,24,154,1252
0,10832.4,47380.0,-5304.0,60,201,2316
2,3926.41,2174.68,-1130.91,20,54,165
0,4883.25,3228.0,-1698.0,11,72,226
5,8628.43,29360.4,-1997.39,35,132,1513
0,4087.59,2310.6,-1042.97,22,54,165
5,11423.5,39269.0,-3990.33,110,205,1751
2,20644.0,173815.0,-5490.0,101,449,5537
2,3954.47,1444.89,-1003.39,42,52,133
0,11409.0,33376.0,-3886.0,24,168,1211
3,8678.42,25827.7,-2420.0,28,156,1364
0,12856.0,95849.0,-6398.0,44,259,4146
2,3838.69,1444.28,-1005.58,42,52,133
3,9585.89,26095.7,-3396.21,27,174,1415
2,3959.56,1472.27,-946.372,42,52,133
4,5208.86,3135.02,-1179.71,37,67,224
0,14581.8,112831.0,-8850.0,60,338,4723
0,13324.1,137340.0,-5968.22,176,279,5626
3,10725.9,37881.7,-4077.25,112,205,1751
2,5465.85,4221.11,-1493.68,122,88,318
5,9944.07,36296.1,-3820.0,43,196,1997
0,11366.8,55567.0,-6302.0,122,237,2679
4,6164.25,7671.4,-2200.0,18,102,516
4,14388.7,67810.7,-3400.0,58,224,2192
5,23304.3,278144.0,-9721.79,71,468,9276
2,6856.01,5413.24,-2170.0,8,79,292
2,16317.7,137623.0,-9070.0,83,449,5537
3,10556.3,49268.8,-5010.0,26,216,2677
2,13693.2,45616.8,-2480.0,42,234,1581
4,21684.6,514203.0,-12439.8,133,540,18067
3,9005.99,12426.5,-2672.12,93,136,619
0,8060.63,29645.5,-3969.08,42,179,1626
4,17060.9,190062.0,-6680.0,53,390,7459
4,9269.4,26717.1,-3419.42,45,174,1415
0,7227.66,13730.0,-2369.0,28,120,813
0,7056.68,11808.0,-4137.0,27,115,803
5,12650.3,46367.0,-5934.87,63,273,2061
3,9388.22,27247.8,-2924.0,94,158,1403
0,15584.2,246354.0,-6758.0,64,360,8725
2,6410.0,5179.39,-2380.0,57,79,292
3,8588.78,26821.5,-2540.0,33,156,1364
0,15496.8,128042.0,-8414.0,251,325,5739
0,16746.5,59076.0,-11599.0,90,354,2330
0,8355.73,21771.0,-3423.0,73,156,1211
4,7477.83,4889.23,-1960.0,19,86,205
4,11109.5,43303.4,-3370.0,20,196,1885
5,9516.41,37831.0,-3576.71,52,180,2054
4,4456.48,3060.4,-1245.17,31,71,249
5,9903.3,36390.2,-4830.0,35,196,1997
4,22571.5,516371.0,-10921.9,113,540,18067
0,9063.3,23613.0,-3635.0,24,158,1258
3,5221.12,3526.35,-789.216,49,51,132
3,13138.9,89889.3,-5580.0,62,254,3885
0,16658.2,137142.0,-8453.0,83,375,5426
0,11214.7,81200.0,-7183.0,140,253,3970
2,12404.3,73728.5,-3780.0,29,249,3630
2,24545.8,471687.0,-13800.0,35,483,15505
1,2478.68,51.0363,-559.0,6,33,5
4,8718.89,11511.4,-3327.88,42,156,654
3,10631.9,27523.1,-4207.29,38,214,1469
2,13019.7,114306.0,-3180.0,39,235,4905
2,9121.26,10166.8,-2290.0,33,154,587
0,5925.06,7643.0,-3609.0,11,108,487
3,13540.8,51676.6,-2870.0,44,234,2464
4,19548.5,161497.0,-8910.0,88,388,6290
2,4585.12,4104.16,-1370.0,15,79,317
3,10102.4,49292.3,-5120.0,42,216,2677
2,13560.7,139655.0,-5720.0,31,315,5844
4,25436.6,281385.0,-11500.0,83,540,8870
5,10435.6,28705.8,-3804.91,73,214,1469
4,7639.75,15775.9,-2729.66,74,134,970
2,12830.7,115169.0,-2980.0,43,235,4905
2,10364.4,59120.7,-4535.66,98,217,2904
0,11223.7,91969.0,-4929.0,41,230,4241
5,20184.2,183128.0,-4240.0,78,403,6746
0,6772.75,7659.0,-4207.0,12,109,484
4,8704.7,11131.3,-3080.58,37,156,654
2,5536.04,4149.42,-1548.34,123,88,318
4,4990.86,3275.41,-1162.53,29,71,249
0,11796.1,53810.0,-3978.0,34,235,2460
1,3974.61,2203.07,-1147.9,22,54,165
0,12402.8,75233.0,-6065.0,76,248,3538
4,9293.86,13624.8,-2839.02,16,148,729
3,4359.93,2059.16,-1060.72,7,63,166
2,6123.31,4963.28,4910.0,29,85,343
4,16071.1,192851.0,-9540.0,53,390,7459
3,13097.7,79842.1,-7020.0,42,272,3539
4,5189.83,4370.62,-1490.0,20,85,343
3,11254.4,43140.8,-2140.0,68,223,2059
2,10084.0,10370.1,-1890.0,39,154,587
2,8130.62,11988.4,-2560.04,83,128,693
5,5559.51,10634.7,-2005.96,33,102,764
0,8627.92,9540.0,-2159.0,44,134,487
3,18349.8,161641.0,-11500.0,87,388,6290
4,18448.4,202825.0,-8580.0,51,390,7459
0,13224.3,82194.0,-9924.0,102,330,3715
5,14395.8,79281.5,-7271.55,66,320,3466
2,16106.6,137559.0,-9240.0,83,449,5537
0,12905.3,66038.0,-8059.0,60,286,2901
3,6865.16,9301.76,-3209.6,22,138,554
0,7751.4,9454.0,-1967.0,14,141,584
1,5756.71,4789.96,-1320.0,20,85,343
1,9154.7,16925.5,-4320.51,37,183,931
1,12181.7,73788.1,-4410.0,21,249,3630
4,10320.0,35123.2,-4472.45,125,208,1691
0,9972.31,22175.0,-4675.0,33,184,1210
0,18112.1,219938.0,-11279.0,80,380,7226
0,8162.41,10459.0,-3456.0,12,114,549
4,10362.8,30853.9,-3004.41,99,171,1747
0,9747.68,32137.0,-5479.0,44,165,1690
5,6380.73,7437.4,-2150.0,158,109,486
3,7058.34,9603.81,-2517.39,19,123,621
5,4907.6,3015.32,-1230.76,42,67,224
4,13138.2,52427.9,-6124.04,56,288,2334
3,9552.34,16681.0,-3841.0,88,172,973
4,11995.1,87520.3,-2280.0,18,220,3450
4,8132.28,9525.59,-2889.77,19,138,554
5,14103.9,102425.0,-5685.63,150,281,4061
0,5304.7,4505.0,-1884.0,15,97,322
3,13806.9,141333.0,-4710.0,49,315,5844
3,13720.3,141887.0,-5280.0,41,315,5844
0,16725.1,197745.0,-10893.0,318,388,7460
2,4007.73,1456.39,-961.918,42,52,133
4,5586.67,1782.69,-1427.63,15,76,147
4,10943.3,27206.0,-584.0,34,166,1111
3,5079.37,3067.15,-1182.62,38,67,224
3,5345.81,4452.99,-1100.0,20,88,292
4,9566.74,27102.4,-1380.0,22,166,1414
4,5682.13,4117.44,-1479.35,124,88,318
0,12736.7,75832.0,-5688.0,32,242,3060
4,10370.6,57372.2,-3780.0,48,223,2822
3,21884.5,410997.0,-8370.0,62,473,14125
4,20444.0,192110.0,-4560.0,90,403,6746
3,15702.8,115053.0,-4570.0,70,271,4426
0,7827.7,7481.0,-2187.0,7,97,400
4,5143.99,4398.6,-1660.0,13,79,292
1,2406.77,50.8227,-667.0,8,33,5
3,7860.77,9229.4,-3097.47,18,138,554
5,7756.73,4711.47,-2762.2,27,131,271
3,9259.58,27517.0,-3280.0,27,194,1521
3,14685.7,52757.5,-2660.0,38,234,2464
0,12770.9,74941.0,-6169.0,26,230,3288
2,8306.72,12053.4,-2598.95,89,128,693
1,3853.74,2149.74,-1167.6,22,54,165
2,4009.37,1446.68,-961.242,42,52,133
3,12857.6,52380.4,-5090.0,16,215,2188
2,3987.88,2192.73,-1148.48,20,54,165
3,9406.46,22695.2,-2250.0,11,166,1111
2,7434.75,5689.3,-1260.0,16,79,292
3,12939.0,74465.9,-4230.0,26,249,3630
0,4554.31,921.0,-670.0,7,53,72
5,7852.53,7042.29,-2016.04,36,108,428
2,12685.2,74685.3,-3380.0,25,249,3630
2,5978.39,7675.44,-1735.06,72,104,457
0,6790.71,4089.3,-2574.81,73,101,249
1,2475.05,52.7779,-596.0,8,33,5
3,7472.41,14097.5,-2358.41,96,120,809
4,10427.8,49118.6,-4490.0,26,216,2677
4,6477.57,7392.17,-1457.71,36,93,545
2,19954.4,243924.0,-11900.0,98,537,8350
1,10303.7,67843.8,-5537.81,143,247,3373
3,13364.7,90465.4,-4010.0,44,254,3885
0,10984.0,43581.0,-6839.0,191,230,2061
5,14337.6,108191.0,-7580.0,55,322,4619
2,6378.62,13390.1,-1612.26,16,96,804
2,8120.38,26166.5,-3110.0,32,156,1364
0,14718.2,134636.0,-8450.0,44,311,4925
2,10095.3,10451.8,-1490.0,32,154,587
0,9762.95,64812.0,-5319.0,33,220,3203
3,13282.0,75698.3,-3490.0,35,249,3630
0,4652.18,1101.0,-528.0,14,67,74
0,13245.3,89249.0,-7661.0,51,267,3889
0,19058.8,186884.0,-11048.0,92,439,6521
3,5854.15,7370.16,-1666.65,54,93,545
0,11353.1,80131.0,-8135.0,166,279,3798
2,5864.46,7671.02,-1833.55,76,104,457
5,5760.12,11109.3,-1866.49,41,105,765
4,14477.5,96071.0,-5727.76,51,294,4249
4,4483.99,2583.83,-1197.91,38,67,224
3,16206.8,115998.0,-4810.0,63,271,4426
4,10946.8,86138.8,-3400.0,33,220,3450
5,8944.21,29057.2,-3368.25,35,179,1626
5,5259.65,4773.61,-1249.39,17,72,340
0,14504.1,104172.0,-1876.0,50,339,4439
5,9361.69,12592.1,-2543.56,75,136,619
0,11202.1,35439.0,-5864.0,41,270,1643
4,9603.46,27772.1,-2922.91,100,158,1403
5,8700.82,17284.0,-2718.01,77,142,844
3,8414.71,17111.0,-2896.77,83,142,844
2,5040.31,3804.6,-1150.0,13,79,317
4,12731.4,55797.2,-3500.0,64,224,2192
4,9238.75,20452.0,-3458.78,89,163,1162
0,7929.02,8877.0,-3570.0,14,129,521
0,5598.91,1102.0,-826.0,24,66,63
4,6259.88,6646.73,-2710.0,21,119,395
3,7801.68,13927.0,-2130.12,43,120,809
2,13597.5,41770.7,-2850.0,50,234,1581
2,4044.93,2195.63,-971.394,20,54,165
0,17549.8,190154.0,-9967.0,322,374,6633
3,9240.35,10029.9,-1380.0,29,154,587
3,11409.4,50480.1,-5440.0,24,216,2677
0,11100.4,76049.0,-7498.0,46,244,3706
0,6145.48,9138.0,-2117.0,7,105,581
2,12171.1,74748.9,-4380.0,27,249,3630
3,13218.6,51446.8,-2770.0,44,234,2464
3,11898.0,46156.3,-4970.0,21,215,2188
2,4548.93,2819.88,-1394.68,52,67,224
0,11002.8,70251.0,-6125.0,110,223,3209
0,7334.17,6997.0,-3343.0,15,121,397
3,20675.4,244859.0,-12900.0,82,540,8870
0,9868.87,35005.0,-3824.0,32,204,1934
4,10073.2,27186.4,-2816.2,77,158,1403
5,10641.6,38424.7,-3866.32,110,205,1751
0,9625.67,29224.0,-3403.0,24,170,1467
0,15715.5,168482.0,-7908.0,59,390,6294
0,9309.07,72643.0,-4931.0,36,216,3454
0,7143.43,17970.0,-3996.0,2,110,806
0,6661.86,5361.0,-2139.0,5,82,244
2,5936.43,7666.13,-1818.38,74,104,457
5,11007.7,58003.8,-3730.0,34,223,2822
0,13865.0,70582.0,-5621.0,45,270,3130
0,10648.7,53396.0,-5518.0,43,210,2383
2,5892.81,4915.01,16900.0,29,85,343
0,15098.8,66975.0,-4212.0,40,229,2603
2,6310.09,5432.27,-2380.0,16,79,292
4,15649.6,141759.0,-3510.0,63,315,5844
3,4674.13,3944.51,-1210.0,13,79,317
4,5356.78,2237.33,-1627.29,18,82,185
0,11168.3,64955.0,-6410.0,156,222,3290
5,7813.38,9183.57,-1000.0,24,102,516
0,12202.2,41137.0,-6143.0,36,216,1754
2,13812.6,139512.0,-4850.0,47,315,5844
3,8122.78,5330.75,-1360.0,29,86,205
3,12953.8,60657.5,-5130.0,24,247,2754
4,8872.56,28649.6,-3410.33,36,179,1626
0,11597.3,39536.0,-5602.0,60,229,2127
0,13401.8,61361.0,-8372.0,147,314,2836
0,6366.8,2459.0,-1312.0,8,68,130
3,9388.91,25747.5,-3358.44,33,174,1415
5,14291.1,65271.8,-2140.0,61,223,2822
4,9615.02,25822.5,-3391.89,25,174,1415
0,10254.9,39993.0,-5223.0,32,192,1865
5,9679.76,29836.0,-3194.26,106,171,1747
0,9527.61,25180.0,-2843.0,29,186,1414
3,11133.0,26813.1,-4137.09,41,214,1469
3,16066.4,115345.0,-3890.0,51,271,4426
0,8008.15,12458.0,-3366.0,24,169,695
3,13244.2,90867.7,-4580.0,41,254,3885
4,13690.2,52665.7,-6117.45,48,288,2334
3,12682.8,74450.8,-4240.0,26,249,3630
3,2654.25,50.1395,-560.0,6,33,5
5,4741.31,2407.48,-842.001,44,51,132
4,8906.23,20582.5,-3497.77,92,163,1162
0,12462.7,109412.0,-5505.0,21,284,4617
4,6626.46,10442.1,-3180.0,16,109,689
3,7424.17,5241.91,-2380.0,23,86,205
4,8951.77,11323.5,-3143.73,52,156,654
2,11376.6,32234.5,409.0,40,234,1581
1,2586.38,47.7134,-336.0,6,33,5
2,4179.65,2190.45,-919.427,20,54,165
2,7818.65,9476.29,-2975.24,96,130,490
5,14388.0,95056.9,-5910.85,58,294,4249
0,19923.7,301046.0,-8462.0,80,445,10102
2,15079.9,117879.0,-6610.0,55,271,4426
2,4095.87,2250.05,-1080.5,20,54,165
0,7200.48,21532.0,-2783.0,186,146,1308
0,14156.9,135304.0,-9469.0,206,312,5731
3,23867.2,470143.0,-12400.0,50,483,15505
3,9437.37,39537.0,-1800.0,11,196,1885
0,19262.6,260781.0,-11947.0,262,424,9408
3,8200.54,11748.7,-2525.3,86,128,693
0,7678.78,12467.0,-3029.0,10,133,803
4,9711.58,12594.5,-2579.86,85,136,619
4,8696.07,11055.3,-3199.2,29,156,654
5,18162.8,202432.0,-7950.0,61,390,7459
3,4157.84,1932.93,-1084.97,4,63,166
4,11192.5,42299.0,-2450.0,28,166,1414
5,9943.07,34145.0,-3436.39,92,176,1922
1,6056.62,5194.69,-1460.0,21,85,343
2,11070.1,73612.8,-5440.0,19,249,3630
4,4530.17,3294.57,-1222.36,36,71,249
0,8164.92,10384.0,-2820.0,52,132,658
3,22272.6,414308.0,-6940.0,68,473,14125
0,12758.1,62379.0,-5684.0,46,237,2746
2,19208.4,150697.0,-9030.0,74,449,5537
4,25362.7,474761.0,-11300.0,52,483,15505
4,7107.27,4038.1,-2278.19,70,101,249
0,10635.8,34152.0,-5527.0,66,184,1691
3,11750.3,44735.6,-3110.0,46,223,2059
3,8563.17,24941.5,-3157.75,38,157,1519
4,8250.17,9376.3,-2854.38,23,138,554
5,14217.3,78604.5,-7117.31,80,320,3466
4,8976.19,12457.1,-2441.02,57,136,619
2,11408.7,73530.7,-5340.0,26,249,3630
0,10116.6,8766.0,-2512.0,19,138,400
4,8536.43,9470.7,-2953.96,100,130,490
4,8353.33,4602.88,-2677.06,26,131,271
2,5154.16,3422.31,-793.939,50,51,132
4,5898.7,10981.1,-1789.77,32,102,764
5,5814.6,11133.1,-1958.78,25,102,764
2,9758.43,20341.6,-2486.65,69,163,1162
4,2471.38,50.0522,-489.0,94,33,5
4,12432.4,92219.9,-4920.0,63,254,3885
3,13078.1,59655.6,-5380.0,25,247,2754
2,7314.21,9476.03,-2484.88,13,123,621
4,9441.23,26259.5,-3367.83,29,174,1415
5,7819.98,4634.86,-2744.3,31,131,271
2,10329.0,10328.6,-2320.0,36,154,587
0,13495.6,116247.0,-6978.0,48,330,4627
3,11866.8,75220.0,-4350.0,25,249,3630
0,5400.55,12154.0,-1857.0,10,93,842
3,20693.5,240604.0,-6140.0,98,537,8350
4,8750.48,9768.44,-2735.34,15,138,554
4,9081.1,17122.2,-3698.56,39,183,931
2,12243.5,73427.0,-3860.0,29,249,3630
3,21518.7,242311.0,-10500.0,104,537,8350
2,5864.34,7232.32,-1646.52,50,93,545
3,4839.23,2999.9,-1215.28,44,67,224
4,11421.1,27060.0,-762.0,35,166,1111
4,23539.3,521716.0,-11394.2,143,540,18067
0,14427.1,57684.0,-6588.0,47,302,2537
4,13876.3,62082.5,-2730.0,56,223,2822
4,7776.13,9537.15,-2798.49,38,138,554
4,2376.63,50.2179,-560.0,92,33,5
3,11621.7,78331.6,-7410.0,40,272,3539
4,9189.37,13634.2,-2858.77,16,148,729
0,13037.8,119751.0,-5981.0,48,261,4517
3,24079.6,255885.0,-7840.0,92,537,8350
4,6056.15,11207.0,-1868.54,14,102,764
2,11409.7,73756.6,-5290.0,24,249,3630
3,14771.1,142495.0,-3880.0,46,315,5844
0,13504.8,62330.0,-7140.0,13,187,1928
5,7809.96,12552.2,-2775.33,88,130,694
1,5984.86,4684.18,-1010.0,22,85,343
3,5489.41,3545.77,-750.43,46,51,132
4,2761.39,51.7655,-388.0,92,33,5
2,3823.77,1477.82,-991.843,42,52,133
0,11849.0,26594.0,-6014.0,37,192,1208
0,10433.5,57935.0,-4304.0,23,221,2824
5,8608.3,19573.6,-2697.6,90,151,1023
3,9408.37,27442.0,-2905.23,91,158,1403
0,16159.2,113629.0,-7506.0,72,378,4731
0,7214.29,8242.0,-2144.0,16,117,457
4,9021.87,28025.4,8220.0,29,166,1414
2,13711.3,47455.0,-2090.0,51,234,1581
1,5775.0,4771.38,-1460.0,21,85,343
0,27093.0,1005950.0,-20576.0,198,715,30042
3,7224.2,15659.5,-2636.71,70,134,970
0,6977.83,4124.0,-3333.0,47,112,292
0,21874.0,98011.0,-7816.0,92,436,3305
5,9627.81,36016.8,-4600.0,42,196,1997
0,29018.8,814047.0,-18392.0,186,753,20648
3,8424.32,51426.8,-3360.0,36,188,2599
1,5827.88,4772.0,-914.0,23,85,343
0,16541.8,142461.0,-10712.0,309,387,5428
4,10865.9,39342.2,-3934.64,26,193,2118
5,10652.0,27457.8,-4406.64,56,214,1469
4,9789.85,26617.4,-3345.54,32,174,1415
4,9301.52,11334.8,-2947.54,34,156,654
2,6681.49,9249.31,-3308.3,16,138,554
4,9018.74,27898.6,-2350.0,19,166,1414
3,14591.8,59810.2,-6648.95,157,305,2610
3,13394.9,50782.6,-3440.0,76,234,2464
3,24861.1,263742.0,-8920.0,102,537,8350
0,7076.03,7333.25,-2509.39,16,122,429
2,11954.0,114599.0,-2330.0,41,235,4905
0,13424.3,139083.0,-8246.0,150,326,6508
3,8169.22,11978.8,-2552.44,82,128,693
3,9660.44,39277.0,-2190.0,21,196,1885
3,24203.2,270592.0,-8570.0,102,537,8350
4,8804.33,27963.6,-2819.72,94,156,1521
3,14193.6,52252.6,-3030.0,34,234,2464
3,5469.77,2774.29,-1135.92,40,67,224
2,5778.87,7569.3,-1883.27,77,104,457
0,32956.9,509795.0,-19912.0,154,782,14166
4,14416.2,51256.1,-3710.0,48,234,2464
0,13851.0,97433.0,-6459.0,85,270,3796
4,23333.9,284119.0,-15700.0,70,540,8870
4,9504.96,12630.1,-2512.83,88,136,619
